Description	Id	ExternalId	ContestId	Type
A. J. THOMAS	108		22	Regular
ABRA PAULINE CASTLE	92		22	Regular
ADAM KOKESH	60		12	Regular
AGATHA BACELAR	67		13	Regular
AHSHA SAFAI	100		22	Regular
AMY KLOBUCHAR	20		7	Regular
ANABELL IBÁÑEZ	143		23	Regular
ANDREW YANG	17		7	Regular
AUSTIN HUNTER	121		23	Regular
BARBARA LEE	71		14	Regular
BERNIE SANDERS	21		7	Regular
BEVAN DUFTY	130		23	Regular
BILL WELD	35		8	Regular
BIVETT BRACKETT	137		23	Regular
CALE GARVERICK	157		24	Regular
CAROLE MIGDEN	135		23	Regular
CAROLYN GOLD	88		21	Regular
CHARLES KRAUT	42		9	Regular
CHRIS WARD KLINE	153		24	Regular
CHRISTIAN FOSTER	150		24	Regular
CHRISTOPHER CHRISTENSEN	115		23	Regular
CORY BOOKER	28		7	Regular
CRISTOS GOODROW	75		15	Regular
CYN WANG	94		22	Regular
DAN BEHRMAN	63		12	Regular
DAPHNE DENISE BRADFORD	179		7	QualifiedWriteIn
DARIO HUNTER	47		10	Regular
DAVID CAMPOS	114		23	Regular
DAVID CHIU	82		18	Regular
DAVID ROLDE	45		10	Regular
DAVID VILLA-LOBOS	136		23	Regular
DEANNA LORRAINE	70		13	Regular
DENIS C. GRASSKA	185		8	QualifiedWriteIn
DENNIS LAMBERT	48		10	Regular
DEVAL PATRICK	24		7	Regular
DON BLANKENSHIP	44		9	Regular
DONALD J. TRUMP	39		8	Regular
DOROTHY CHOU PROUDFOOT	85		20	Regular
ELIZABETH WARREN	15		7	Regular
ERIC TAYLOR	76		15	Regular
ERIK CHASE GERHARDT	64		12	Regular
ERIN SMITH	154		24	Regular
ERIN SMITH	77		16	Regular
EVE DEL CASTELLO	152		24	Regular
FAAUUGA MOLIGA	103		22	Regular
FRANCES HSIEH	120		23	Regular
GEBY EVA ESPINOSA	189		12	QualifiedWriteIn
GLORIA BERRY	140		23	Regular
GLORIA LA RIVA	51		11	Regular
GORDON MAR	101		22	Regular
HEATHER MARIE STAGG	184		7	QualifiedWriteIn
HILLARY RONEN	113		23	Regular
HONEY MAHOGANY	134		23	Regular
HOWIE HAWKINS	46		10	Regular
HOWIE HAWKINS	50		11	Regular
J.R. MYERS	43		9	Regular
JACKIE FIELDER	79		16	Regular
JACKIE SPEIER	73		15	Regular
