area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	079:JEFF BLEICH	080:ELENI KOUNALAKIS	081:CAMERON GHARABIKLOU	082:TIM FERREIRA	083:DAVID FENNELL	084:DANNY THOMAS	085:COLE HARRIS	086:ED HERNANDEZ	087:DAVID R. HERNANDEZ	088:LYDIA ORTEGA	089:GAYLE MCLAUGHLIN	194:MARJAN S. FARIBA
ALLPCTS	TO	481991	253583	0	588	30464	222531	533	46082	64451	1996	3336	5561	1941	10946	38935	5163	7176	36407	4
ALLPCTS	ED	481991	89756	0	138	10760	78858	236	16302	21531	706	1356	1629	662	2860	13390	1959	2045	16181	1
ALLPCTS	MV	481991	163827	0	450	19704	143673	297	29780	42920	1290	1980	3932	1279	8086	25545	3204	5131	20226	3
PCT1101	ED	544	83	0	0	10	73	0	17	18	1	1	1	0	1	16	4	1	13	0
PCT1101	MV	544	198	0	1	17	180	1	32	46	1	1	9	2	10	40	6	10	22	0
PCT1102	ED	964	188	0	0	26	162	0	25	44	2	3	4	0	3	43	7	4	27	0
PCT1102	MV	964	337	0	0	47	290	0	37	86	2	7	11	1	24	63	7	7	45	0
PCT1103	ED	914	163	0	0	15	148	1	34	35	0	1	3	2	4	34	6	4	24	0
PCT1103	MV	914	348	0	1	29	318	0	66	78	1	5	9	3	35	52	10	20	39	0
PCT1104	ED	953	167	0	1	15	151	0	17	32	2	3	6	2	13	38	6	6	26	0
PCT1104	MV	953	292	0	1	42	249	0	44	45	5	5	3	5	9	65	11	11	46	0
PCT1106	ED	740	113	0	0	8	105	0	12	33	0	3	1	1	3	26	6	2	18	0
PCT1106	MV	740	231	0	0	18	213	1	28	52	2	4	7	2	20	50	5	13	29	0
PCT1107	ED	721	101	0	0	10	91	0	17	27	1	1	0	2	3	17	4	7	12	0
PCT1107	MV	721	240	0	1	40	199	1	33	50	0	5	7	0	13	50	12	6	22	0
PCT1108	ED	882	156	0	0	28	128	2	22	45	2	0	1	1	3	20	4	6	22	0
PCT1108	MV	882	328	0	1	32	295	0	38	108	3	4	5	1	9	74	12	12	29	0
PCT1109	ED	758	124	0	0	14	110	0	25	26	0	3	1	2	6	20	5	4	18	0
PCT1109	MV	758	265	0	0	31	234	0	46	50	0	4	10	4	9	65	18	10	18	0
PCT1111	ED	938	132	0	0	15	117	0	17	24	3	2	3	1	2	28	3	7	27	0
PCT1111	MV	938	330	0	0	47	283	2	42	72	2	0	4	2	21	77	12	16	33	0
PCT1112	ED	702	96	0	3	14	79	1	11	21	2	1	1	0	2	24	1	2	13	0
PCT1112	MV	702	221	0	2	34	185	0	24	45	4	1	10	1	12	61	8	4	15	0
PCT1113	ED	701	82	0	0	9	73	1	11	19	0	0	1	0	4	16	3	1	17	0
PCT1113	MV	701	272	0	4	40	228	1	31	40	1	0	10	4	16	53	17	20	35	0
PCT1114	ED	915	139	0	1	21	117	1	21	29	2	1	4	1	1	24	6	6	21	0
PCT1114	MV	915	280	0	0	24	256	0	39	43	4	6	8	1	20	70	8	18	39	0
PCT1115	ED	835	97	0	0	10	87	2	14	23	0	1	5	2	0	21	2	2	15	0
PCT1115	MV	835	279	0	2	52	225	0	29	52	4	7	13	4	23	44	6	21	22	0
PCT1116	ED	842	141	0	0	19	122	0	17	36	1	1	2	1	2	33	5	5	19	0
PCT1116	MV	842	275	0	4	40	231	1	35	64	0	3	9	2	19	59	8	11	20	0
PCT1117	ED	827	138	0	0	16	122	2	19	30	2	3	1	2	7	37	8	2	9	0
PCT1117	MV	827	240	0	0	22	218	1	22	56	3	2	4	2	19	63	9	12	25	0
PCT1118	ED	974	158	0	1	17	140	0	18	41	2	5	5	4	3	27	2	7	26	0
PCT1118	MV	974	335	0	4	36	295	1	32	94	2	1	7	3	24	75	11	16	29	0
PCT1119	ED	745	97	0	0	8	89	2	14	23	1	0	0	0	3	22	1	3	20	0
PCT1119	MV	745	274	0	0	25	249	1	29	71	3	6	4	2	22	62	7	19	23	0
PCT1121	ED	653	104	0	0	16	88	0	20	16	1	1	5	0	3	18	4	7	13	0
PCT1121	MV	653	221	0	1	30	190	0	27	46	2	0	6	1	21	48	11	6	22	0
PCT1122	ED	607	69	0	0	10	59	1	8	14	0	0	2	0	2	19	0	5	8	0
