area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	169:CYNTHIA MING-MEI LEE	170:ELIZABETH ZAREH	171:KWIXUAN H. MALOOF
ALL	TO	481991	253583	246	155	49475	203707	1001	126913	20723	55070
ALL	ED	481991	89756	-68	37	20002	69785	512	38006	8437	22830
ALL	MV	481991	163827	314	118	29473	133922	489	88907	12286	32240
PCT1101	ED	544	83	0	0	18	65	0	30	6	29
PCT1101	MV	544	198	0	0	24	174	0	105	16	53
PCT1102	ED	964	188	-2	0	38	152	1	74	28	49
PCT1102	MV	964	337	1	1	54	281	0	161	47	73
PCT1103	ED	914	163	0	0	32	131	0	83	17	31
PCT1103	MV	914	348	1	0	50	297	2	200	36	59
PCT1104	ED	953	167	0	0	40	127	1	51	30	45
PCT1104	MV	953	292	0	0	56	236	3	138	30	65
PCT1106	ED	740	113	0	0	21	92	1	45	13	33
PCT1106	MV	740	231	0	0	29	202	0	132	22	48
PCT1107	ED	721	101	0	0	17	84	1	40	14	29
PCT1107	MV	721	240	5	0	43	192	2	117	26	47
PCT1108	ED	882	156	-1	0	44	113	2	51	27	33
PCT1108	MV	882	328	3	0	53	272	1	188	26	57
PCT1109	ED	758	124	0	0	24	100	2	54	15	29
PCT1109	MV	758	265	0	1	37	227	0	165	19	43
PCT1111	ED	938	132	-1	0	26	107	1	54	20	32
PCT1111	MV	938	330	3	1	61	265	2	188	33	42
PCT1112	ED	702	96	0	0	19	77	0	38	14	25
PCT1112	MV	702	221	1	0	38	182	3	122	16	41
PCT1113	ED	701	82	0	0	24	58	2	29	3	24
PCT1113	MV	701	272	2	1	50	219	3	148	29	39
PCT1114	ED	915	139	0	0	34	105	1	44	26	34
PCT1114	MV	915	280	0	0	23	257	1	142	51	63
PCT1115	ED	835	97	-1	0	14	84	0	45	9	30
PCT1115	MV	835	279	1	0	57	221	0	156	19	46
PCT1116	ED	842	141	0	0	43	98	1	44	17	36
PCT1116	MV	842	275	1	0	55	219	1	147	22	49
PCT1117	ED	827	138	-3	0	38	103	0	46	27	30
PCT1117	MV	827	240	1	0	36	203	1	123	26	53
PCT1118	ED	974	158	0	0	23	135	3	57	28	47
PCT1118	MV	974	335	0	0	68	267	2	169	37	59
PCT1119	ED	745	97	0	0	20	77	2	31	12	32
PCT1119	MV	745	274	0	0	47	227	2	132	34	59
PCT1121	ED	653	104	-1	0	17	88	1	39	24	24
PCT1121	MV	653	221	2	1	41	177	0	109	27	41
PCT1122	ED	607	69	0	0	12	57	2	27	11	17
PCT1122	MV	607	213	0	0	46	167	0	118	19	30
PCT1123	ED	876	118	0	0	31	87	1	37	18	31
PCT1123	MV	876	254	1	0	38	215	0	144	30	41
PCT1124	ED	773	109	0	0	37	72	1	33	15	23
PCT1124	MV	773	200	-1	0	28	173	1	106	22	44
PCT1125	ED	987	80	-1	0	20	61	3	25	9	24
PCT1125	MV	987	329	-1	0	60	270	1	173	52	44
PCT1126	ED	900	92	-2	0	20	74	3	28	23	20
PCT1126	MV	900	292	1	0	51	240	4	160	45	31
PCT1127	ED	875	141	-1	0	33	109	2	49	23	35
PCT1127	MV	875	277	1	0	45	231	2	156	37	36
PCT1128	ED	813	104	0	0	30	74	3	33	14	24
PCT1128	MV	813	246	0	1	37	208	0	135	40	33
PCT1129	ED	924	120	0	0	30	90	1	50	24	15
PCT1129	MV	924	274	2	0	39	233	0	157	33	43
PCT1131	ED	783	85	0	0	9	76	3	38	14	21
PCT1131	MV	783	288	1	0	44	243	2	165	38	38
PCT1132	ED	910	112	0	0	21	91	1	39	19	32
PCT1132	MV	910	324	0	1	44	279	0	202	34	43
PCT1133	ED	826	99	0	0	24	75	1	41	11	22
PCT1133	MV	826	292	-2	0	50	244	4	165	33	42
PCT1134	ED	727	126	0	0	28	98	2	44	17	35
PCT1134	MV	727	241	0	0	48	193	1	139	26	27
PCT1135	ED	511	71	0	0	13	58	1	35	9	13
PCT1135	MV	511	217	0	0	37	180	2	111	27	40
PCT1136	ED	807	97	0	0	18	79	1	42	20	16
PCT1136	MV	807	287	1	2	46	238	0	159	38	41
PCT1141	ED	998	149	0	0	29	120	1	63	16	40
PCT1141	MV	998	368	0	0	50	318	0	201	50	67
PCT1142	ED	822	120	0	0	23	97	1	52	19	25
PCT1142	MV	822	266	1	1	41	223	0	123	36	64
PCT1143	ED	989	147	-1	0	22	126	1	46	33	46
PCT1143	MV	989	311	0	1	62	248	5	126	48	69
PCT1144	ED	870	148	-1	1	32	116	1	50	22	43
PCT1144	MV	870	264	-2	0	41	225	0	136	30	59
PCT1145	ED	879	136	1	0	31	104	1	46	20	37
PCT1145	MV	879	370	0	0	58	312	0	203	29	80
PCT1146	ED	971	124	1	0	18	105	2	36	23	44
PCT1146	MV	971	326	0	1	45	280	2	158	54	66
PCT1147	ED	853	166	1	0	44	121	1	54	18	48
PCT1147	MV	853	279	-1	1	39	240	0	133	37	70
PCT1148	ED	918	121	0	0	30	91	0	44	23	24
PCT1148	MV	918	314	1	0	54	259	1	177	35	46
PCT1149	ED	873	148	-2	0	38	112	0	44	31	37
PCT1149	MV	873	285	0	1	41	243	2	144	43	54
PCT1152	ED	838	125	-1	1	22	103	0	46	20	37
PCT1152	MV	838	286	1	0	46	239	2	171	27	39
PCT1153	ED	909	139	0	0	40	99	0	58	23	18
PCT1153	MV	909	306	0	0	41	265	0	179	29	57
PCT7001	ED	735	119	-2	0	32	89	1	42	7	39
PCT7001	MV	735	266	6	0	59	201	0	121	12	68
PCT7002	ED	641	132	1	0	28	103	0	60	7	36
PCT7002	MV	641	173	0	0	21	152	0	92	7	53
PCT7003	ED	864	188	-1	1	47	141	1	78	8	54
PCT7003	MV	864	340	1	1	65	273	0	185	14	74
PCT7004	ED	835	175	-1	0	47	129	1	93	5	30
PCT7004	MV	835	306	6	0	43	257	2	160	19	76
PCT7005	ED	812	180	-1	0	37	144	0	78	9	57
PCT7005	MV	812	295	2	0	51	242	0	145	14	83
PCT7006	ED	884	213	-1	0	52	162	1	60	16	85
PCT7006	MV	884	290	1	0	42	247	1	132	21	93
PCT7007	ED	916	233	-4	0	49	188	1	106	17	64
PCT7007	MV	916	323	2	0	48	273	1	195	7	70
PCT7008	ED	861	187	0	0	50	137	0	83	9	45
PCT7008	MV	861	345	0	0	68	277	0	194	17	66
PCT7009	ED	864	133	-1	0	29	105	0	49	12	44
PCT7009	MV	864	312	-2	0	67	247	0	156	18	73
PCT7011	ED	976	141	0	0	34	107	3	54	16	34
PCT7011	MV	976	205	1	0	42	162	2	85	21	54
PCT7012	ED	1061	224	0	0	39	185	1	98	18	68
PCT7012	MV	1061	383	0	0	71	312	1	198	23	90
PCT7013	ED	805	132	0	0	26	106	1	61	9	35
PCT7013	MV	805	251	2	0	41	208	1	138	13	56
PCT7014	ED	1213	188	-2	0	37	153	0	80	15	58
PCT7014	MV	1213	434	-1	0	75	360	0	242	19	99
PCT7015	MV	93	34	0	0	2	32	0	11	1	20
PCT7016	ED	891	112	2	0	31	79	0	32	16	31
PCT7016	MV	891	221	2	0	43	176	2	119	23	32
PCT7017	ED	734	79	0	0	32	47	0	26	10	11
PCT7017	MV	734	167	1	0	36	130	0	71	26	33
PCT7018	ED	908	88	-1	0	23	66	0	32	12	22
PCT7018	MV	908	343	5	1	60	277	1	198	34	44
PCT7019	ED	864	111	2	0	35	74	0	43	9	22
PCT7019	MV	864	349	-1	1	50	299	1	214	20	64
PCT7021	ED	927	129	0	0	32	97	2	33	21	41
PCT7021	MV	927	220	-1	0	45	176	2	101	24	49
PCT7022	ED	923	164	-1	0	31	134	0	59	25	50
PCT7022	MV	923	270	2	0	45	223	0	128	38	57
PCT7023	ED	906	131	-1	0	32	100	3	52	11	34
PCT7023	MV	906	301	-3	0	50	254	1	167	17	69
PCT7024	ED	386	30	0	0	10	20	2	9	7	2
PCT7024	MV	386	47	1	0	5	41	0	32	4	5
PCT7025	ED	448	66	1	0	18	47	0	23	9	15
PCT7025	MV	448	78	2	0	8	68	0	35	8	25
PCT7026	ED	971	90	-1	0	22	69	1	41	12	15
PCT7026	MV	971	350	8	0	45	297	0	246	23	28
PCT7027	ED	845	136	2	0	45	89	1	42	14	32
PCT7027	MV	845	271	2	0	60	209	0	140	18	51
PCT7028	ED	835	157	-1	0	32	126	0	67	20	39
PCT7028	MV	835	180	0	1	33	146	2	86	21	37
PCT7029	ED	855	115	1	1	25	88	0	33	31	24
PCT7029	MV	855	166	2	1	26	137	2	85	13	37
PCT7030	ED	729	94	0	0	12	82	0	57	8	17
PCT7030	MV	729	277	0	0	45	232	1	188	13	30
PCT7031	ED	611	50	0	0	8	42	1	27	7	7
PCT7031	MV	611	224	0	1	41	182	0	133	19	30
PCT7032	ED	867	126	-2	0	39	89	2	34	18	35
PCT7032	MV	867	238	1	0	46	191	0	122	27	42
PCT7033	ED	765	135	0	0	30	105	4	37	27	37
PCT7033	MV	765	181	0	0	32	149	1	79	33	36
PCT7034	ED	914	97	0	1	31	65	1	28	21	15
PCT7034	MV	914	154	-1	0	34	121	1	64	21	35
PCT7035	ED	553	73	-1	0	17	57	0	24	8	25
PCT7035	MV	553	170	1	1	34	134	1	88	13	32
PCT7036	ED	898	52	0	0	11	41	0	18	6	17
PCT7036	MV	898	265	0	1	38	226	6	173	29	18
