area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	110:STEVE POIZNER	111:RICARDO LARA	112:NATHALIE HRIZI	113:ASIF MAHMOOD
ALLPCTS	TO	481991	253583	246	322	43501	209514	875	61044	85107	29487	33001
ALLPCTS	ED	481991	89756	-68	91	16585	73148	431	19481	28673	12788	11775
ALLPCTS	MV	481991	163827	314	231	26916	136366	444	41563	56434	16699	21226
PCT1101	ED	544	83	0	0	12	71	1	17	29	10	14
PCT1101	MV	544	198	0	0	26	172	0	41	77	16	38
PCT1102	ED	964	188	-2	0	25	165	0	35	62	34	34
PCT1102	MV	964	337	1	0	43	293	0	75	128	42	48
PCT1103	ED	914	163	0	1	19	143	2	37	55	29	20
PCT1103	MV	914	348	1	0	48	299	0	88	121	37	53
PCT1104	ED	953	167	0	1	26	140	0	32	59	27	22
PCT1104	MV	953	292	0	3	41	248	0	59	109	37	43
PCT1106	ED	740	113	0	0	16	97	0	31	34	11	21
PCT1106	MV	740	231	0	0	31	200	0	62	76	28	34
PCT1107	ED	721	101	0	1	14	86	1	18	36	15	16
PCT1107	MV	721	240	5	0	48	187	1	52	78	23	33
PCT1108	ED	882	156	-1	1	39	117	1	30	42	14	30
PCT1108	MV	882	328	3	1	44	280	2	56	133	33	56
PCT1109	ED	758	124	0	0	15	109	0	23	44	24	18
PCT1109	MV	758	265	0	1	37	227	0	51	102	29	45
PCT1111	ED	938	132	-1	0	17	116	0	16	48	29	23
PCT1111	MV	938	330	3	0	51	276	3	65	117	42	49
PCT1112	ED	702	96	0	1	15	80	0	10	35	13	22
PCT1112	MV	702	221	1	0	30	190	2	43	78	18	49
PCT1113	ED	701	82	0	0	17	65	1	15	25	15	9
PCT1113	MV	701	272	2	1	53	216	3	71	81	31	30
PCT1114	ED	915	139	0	0	22	117	1	21	52	24	19
PCT1114	MV	915	280	0	0	31	249	0	68	99	48	34
PCT1115	ED	835	97	-1	0	15	83	2	20	28	17	16
PCT1115	MV	835	279	1	1	62	215	0	60	86	27	42
PCT1116	ED	842	141	0	1	30	110	0	17	35	20	38
PCT1116	MV	842	275	1	2	51	221	2	50	106	29	34
PCT1117	ED	827	138	-3	0	26	115	0	20	52	19	24
PCT1117	MV	827	240	1	0	39	200	0	44	84	29	43
PCT1118	ED	974	158	0	0	16	142	0	24	57	33	28
PCT1118	MV	974	335	0	0	52	283	1	76	132	33	41
PCT1119	ED	745	97	0	0	15	82	0	12	28	17	25
PCT1119	MV	745	274	0	0	29	245	2	63	89	32	59
PCT1121	ED	653	104	-1	0	18	87	0	24	29	11	23
PCT1121	MV	653	221	2	0	39	180	0	48	81	23	28
PCT1122	ED	607	69	0	0	15	54	1	13	22	11	7
PCT1122	MV	607	213	0	0	57	156	1	54	42	22	37
PCT1123	ED	876	118	0	0	20	98	3	26	40	14	15
PCT1123	MV	876	254	1	0	24	229	2	50	100	38	39
PCT1124	ED	773	109	0	0	25	84	2	12	41	11	18
PCT1124	MV	773	200	-1	1	29	171	1	34	78	23	35
PCT1125	ED	987	80	-1	0	19	62	3	8	28	11	12
PCT1125	MV	987	329	-1	3	34	293	3	64	148	32	46
PCT1126	ED	900	92	-2	0	12	82	0	17	42	9	14
PCT1126	MV	900	292	1	0	41	250	2	61	114	26	47
PCT1127	ED	875	141	-1	0	19	123	2	27	48	25	21
PCT1127	MV	875	277	1	1	36	239	1	61	112	27	38
PCT1128	ED	813	104	0	1	15	88	2	30	35	12	9
PCT1128	MV	813	246	0	2	39	205	0	62	73	21	49
PCT1129	ED	924	120	0	0	14	106	1	22	50	14	19
PCT1129	MV	924	274	2	0	25	247	1	49	142	27	28
PCT1131	ED	783	85	0	0	11	74	1	24	32	10	7
PCT1131	MV	783	288	1	1	40	246	1	76	107	20	42
PCT1132	ED	910	112	0	0	17	95	1	12	40	18	24
PCT1132	MV	910	324	0	1	54	269	0	78	116	34	41
PCT1133	ED	826	99	0	0	16	83	1	18	34	11	19
