area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSPnd	RSCha
ALL	TO	ALL	481991	258146	253583	0	3679
ALL	TO	*					
ALL	ED	ALL	160084	89756	89756		
ALL	ED	*					
ALL	MV	ALL	321907	168390	163827	0	3679
ALL	MV	AI	5746	2234	2175	0	59
ALL	MV	AINPP	0	0	0	0	0
ALL	MV	DEM	188399	104401	102125	0	2276
ALL	MV	DEMNPP	1	1	1	0	0
ALL	MV	GRN	2507	1387	1363	0	24
ALL	MV	LIB	1972	703	691	0	12
ALL	MV	LIBNPP	0	0	0	0	0
ALL	MV	PF	861	288	283	0	5
ALL	MV	REP	23351	12848	12627	0	221
ALL	MV	NPP	99070	46528	45446	0	1082
ALL	MV	NPPALL	99071	46529	45447	0	1082
PCT1101	TO	ALL	544		281		
PCT1101	TO	*					
PCT1101	ED	ALL			83		
PCT1101	ED	*					
PCT1101	MV	ALL			198		
PCT1101	MV	*					
PCT1102	TO	ALL	964		525		
PCT1102	TO	*					
PCT1102	ED	ALL			188		
PCT1102	ED	*					
PCT1102	MV	ALL			337		
PCT1102	MV	*					
PCT1103	TO	ALL	914		511		
PCT1103	TO	*					
PCT1103	ED	ALL			163		
PCT1103	ED	*					
PCT1103	MV	ALL			348		
PCT1103	MV	*					
PCT1104	TO	ALL	953		459		
PCT1104	TO	*					
PCT1104	ED	ALL			167		
PCT1104	ED	*					
PCT1104	MV	ALL			292		
PCT1104	MV	*					
PCT1106	TO	ALL	740		344		
PCT1106	TO	*					
PCT1106	ED	ALL			113		
PCT1106	ED	*					
PCT1106	MV	ALL			231		
PCT1106	MV	*					
PCT1107	TO	ALL	721		341		
PCT1107	TO	*					
PCT1107	ED	ALL			101		
PCT1107	ED	*					
PCT1107	MV	ALL			240		
PCT1107	MV	*					
PCT1108	TO	ALL	882		484		
PCT1108	TO	*					
PCT1108	ED	ALL			156		
PCT1108	ED	*					
PCT1108	MV	ALL			328		
PCT1108	MV	*					
PCT1109	TO	ALL	758		389		
PCT1109	TO	*					
PCT1109	ED	ALL			124		
PCT1109	ED	*					
