area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	172:NIKI JUDITH SOLIS	173:JEFFREY S. ROSS
ALLPCTS	TO	481991	253583	246	0	108	51854	201375	1050	81194	119131
ALLPCTS	ED	481991	89756	-68	0	29	20556	69239	493	32517	36229
ALLPCTS	MV	481991	163827	314	0	79	31298	132136	557	48677	82902
PCT1101	ED	544	83	0	0	0	21	62	0	43	19
PCT1101	MV	544	198	0	0	0	25	173	0	72	101
PCT1102	ED	964	188	-2	0	0	40	150	1	77	72
PCT1102	MV	964	337	1	0	0	56	280	0	115	165
PCT1103	ED	914	163	0	0	0	34	129	0	58	71
PCT1103	MV	914	348	1	0	0	49	298	2	106	190
PCT1104	ED	953	167	0	0	0	40	127	0	66	61
PCT1104	MV	953	292	0	0	0	55	237	3	108	126
PCT1106	ED	740	113	0	0	0	19	94	0	43	51
PCT1106	MV	740	231	0	0	1	28	202	0	72	130
PCT1107	ED	721	101	0	0	0	17	84	1	46	37
PCT1107	MV	721	240	5	0	0	50	185	2	67	116
PCT1108	ED	882	156	-1	0	0	40	117	2	55	60
PCT1108	MV	882	328	3	0	0	54	271	0	90	181
PCT1109	ED	758	124	0	0	0	26	98	0	43	55
PCT1109	MV	758	265	0	0	0	43	222	3	78	141
PCT1111	ED	938	132	-1	0	0	25	108	0	60	48
PCT1111	MV	938	330	3	0	1	60	266	3	88	175
PCT1112	ED	702	96	0	0	0	20	76	0	35	41
PCT1112	MV	702	221	1	0	0	45	175	3	54	118
PCT1113	ED	701	82	0	0	0	25	57	2	29	26
PCT1113	MV	701	272	2	0	1	60	209	2	82	125
PCT1114	ED	915	139	0	0	0	35	104	1	52	51
PCT1114	MV	915	280	0	0	0	33	247	2	99	146
PCT1115	ED	835	97	-1	0	0	18	80	2	37	41
PCT1115	MV	835	279	1	0	0	60	218	0	84	134
PCT1116	ED	842	141	0	0	0	37	104	1	60	43
PCT1116	MV	842	275	1	0	0	62	212	2	96	114
PCT1117	ED	827	138	-3	0	0	40	101	2	49	50
PCT1117	MV	827	240	1	0	0	41	198	1	69	128
PCT1118	ED	974	158	0	0	0	24	134	3	82	49
PCT1118	MV	974	335	0	0	0	73	262	5	105	152
PCT1119	ED	745	97	0	0	0	21	76	1	45	30
PCT1119	MV	745	274	0	0	0	51	223	1	91	131
PCT1121	ED	653	104	-1	0	0	18	87	0	42	45
PCT1121	MV	653	221	2	0	0	40	179	0	63	116
PCT1122	ED	607	69	0	0	0	16	53	2	23	28
PCT1122	MV	607	213	0	0	0	58	155	1	44	110
PCT1123	ED	876	118	0	0	0	30	88	2	42	44
PCT1123	MV	876	254	1	0	1	40	212	1	79	132
PCT1124	ED	773	109	0	0	0	35	74	1	34	39
PCT1124	MV	773	200	-1	0	1	32	168	1	69	98
PCT1125	ED	987	80	-1	0	0	18	63	3	35	25
PCT1125	MV	987	329	-1	0	0	59	271	4	85	182
PCT1126	ED	900	92	-2	0	0	22	72	2	35	35
PCT1126	MV	900	292	1	0	0	53	238	3	73	162
PCT1127	ED	875	141	-1	0	0	28	114	2	56	56
PCT1127	MV	875	277	1	0	0	48	228	1	70	157
PCT1128	ED	813	104	0	0	0	29	75	3	36	36
PCT1128	MV	813	246	0	0	0	44	202	0	77	125
PCT1129	ED	924	120	0	0	0	33	87	1	41	45
PCT1129	MV	924	274	2	0	0	40	232	0	81	151
PCT1131	ED	783	85	0	0	0	9	76	1	29	46
PCT1131	MV	783	288	1	0	0	49	238	2	76	160
PCT1132	ED	910	112	0	0	0	23	89	0	49	40
PCT1132	MV	910	324	0	0	1	55	268	0	89	179
PCT1133	ED	826	99	0	0	0	22	77	0	40	37
PCT1133	MV	826	292	-2	0	0	55	239	5	81	153
PCT1134	ED	727	126	0	0	0	26	100	1	54	45
PCT1134	MV	727	241	0	0	0	53	188	0	50	138
PCT1135	ED	511	71	0	0	0	14	57	1	20	36
PCT1135	MV	511	217	0	0	0	32	185	2	58	125
PCT1136	ED	807	97	0	0	0	20	77	1	46	30
PCT1136	MV	807	287	1	0	0	51	235	2	78	155
PCT1141	ED	998	149	0	0	0	36	113	0	65	48
PCT1141	MV	998	368	0	0	0	58	310	1	126	183
PCT1142	ED	822	120	0	0	0	25	95	0	48	47
PCT1142	MV	822	266	1	0	0	41	224	4	96	124
PCT1143	ED	989	147	-1	0	0	23	125	2	72	51
PCT1143	MV	989	311	0	0	1	77	233	5	106	122
PCT1144	ED	870	148	-1	0	2	28	119	1	67	51
PCT1144	MV	870	264	-2	0	0	46	220	0	93	127
PCT1145	ED	879	136	1	0	0	26	109	1	55	53
PCT1145	MV	879	370	0	0	1	59	310	1	125	184
PCT1146	ED	971	124	1	0	0	16	107	1	63	43
PCT1146	MV	971	326	0	0	1	49	276	1	121	154
PCT1147	ED	853	166	1	0	0	45	120	1	69	50
PCT1147	MV	853	279	-1	0	1	39	240	0	106	134
PCT1148	ED	918	121	0	0	0	26	95	0	52	43
PCT1148	MV	918	314	1	0	0	57	256	3	99	154
PCT1149	ED	873	148	-2	0	0	39	111	0	64	47
PCT1149	MV	873	285	0	0	0	51	234	1	95	138
PCT1152	ED	838	125	-1	0	0	26	100	1	55	44
PCT1152	MV	838	286	1	0	0	51	234	0	83	151
PCT1153	ED	909	139	0	0	0	38	101	0	45	56
PCT1153	MV	909	306	0	0	0	49	257	2	106	149
PCT7001	ED	735	119	-2	0	0	33	88	1	52	35
PCT7001	MV	735	266	6	0	0	54	206	1	104	101
PCT7002	ED	641	132	1	0	0	27	104	0	57	47
PCT7002	MV	641	173	0	0	0	25	148	0	64	84
PCT7003	ED	864	188	-1	0	1	44	144	0	73	71
PCT7003	MV	864	340	1	0	1	61	277	0	115	162
PCT7004	ED	835	175	-1	0	0	52	124	0	52	72
PCT7004	MV	835	306	6	0	0	48	252	2	98	152
PCT7005	ED	812	180	-1	0	0	36	145	0	71	74
PCT7005	MV	812	295	2	0	0	53	240	0	118	122
PCT7006	ED	884	213	-1	0	0	49	165	1	106	58
PCT7006	MV	884	290	1	0	0	45	244	1	129	114
PCT7007	ED	916	233	-4	0	0	53	184	1	99	84
PCT7007	MV	916	323	2	0	0	53	268	1	106	161
PCT7008	ED	861	187	0	0	0	50	137	0	64	73
PCT7008	MV	861	345	0	0	0	72	273	0	105	168
PCT7009	ED	864	133	-1	0	0	30	104	0	63	41
PCT7009	MV	864	312	-2	0	0	66	248	1	96	151
PCT7011	ED	976	141	0	0	0	41	100	3	46	51
PCT7011	MV	976	205	1	0	0	36	168	2	80	86
PCT7012	ED	1061	224	0	0	0	42	182	2	87	93
PCT7012	MV	1061	383	0	0	0	78	305	2	130	173
PCT7013	ED	805	132	0	0	0	27	105	2	50	53
PCT7013	MV	805	251	2	0	0	41	208	3	85	120
PCT7014	ED	1213	188	-2	0	0	38	152	1	76	75
PCT7014	MV	1213	434	-1	0	0	80	355	1	156	198
PCT7015	MV	93	34	0	0	0	1	33	0	23	10
PCT7016	ED	891	112	2	0	0	33	77	0	44	33
PCT7016	MV	891	221	2	0	0	42	177	0	60	117
PCT7017	ED	734	79	0	0	0	31	48	0	25	23
PCT7017	MV	734	167	1	0	0	33	133	0	67	66
PCT7018	ED	908	88	-1	0	0	20	69	0	35	34
PCT7018	MV	908	343	5	0	1	66	271	2	75	194
PCT7019	ED	864	111	2	0	0	31	78	1	37	40
PCT7019	MV	864	349	-1	0	1	52	297	2	96	199
PCT7021	ED	927	129	0	0	1	30	98	2	52	44
PCT7021	MV	927	220	-1	0	0	42	179	1	76	102
PCT7022	ED	923	164	-1	0	0	31	134	1	69	64
PCT7022	MV	923	270	2	0	0	45	223	1	92	130
PCT7023	ED	906	131	-1	0	0	36	96	1	52	43
PCT7023	MV	906	301	-3	0	0	47	257	2	105	150
PCT7024	ED	386	30	0	0	0	12	18	2	5	11
PCT7024	MV	386	47	1	0	0	3	43	0	9	34
PCT7025	ED	448	66	1	0	0	14	51	0	31	20
PCT7025	MV	448	78	2	0	0	7	69	1	33	35
PCT7026	ED	971	90	-1	0	0	22	69	1	22	46
PCT7026	MV	971	350	8	0	1	63	278	1	55	222
PCT7027	ED	845	136	2	0	0	44	90	0	45	45
PCT7027	MV	845	271	2	0	0	69	200	4	72	124
PCT7028	ED	835	157	-1	0	2	36	120	0	61	59
PCT7028	MV	835	180	0	0	0	32	148	2	60	86
PCT7029	ED	855	115	1	0	0	28	86	0	44	42
PCT7029	MV	855	166	2	0	1	30	133	3	55	75
PCT7030	ED	729	94	0	0	0	18	76	2	30	44
PCT7030	MV	729	277	0	0	0	54	223	2	61	160
PCT7031	ED	611	50	0	0	0	9	41	0	16	25
PCT7031	MV	611	224	0	0	0	54	170	1	51	118
PCT7032	ED	867	126	-2	0	0	38	90	2	45	43
PCT7032	MV	867	238	1	0	0	37	200	1	82	117
PCT7033	ED	765	135	0	0	0	32	103	3	50	50
PCT7033	MV	765	181	0	0	0	27	154	1	58	95
PCT7034	ED	914	97	0	0	1	31	65	0	28	37
PCT7034	MV	914	154	-1	0	0	33	122	2	52	68
PCT7035	ED	553	73	-1	0	0	16	58	0	31	27
PCT7035	MV	553	170	1	0	0	32	137	2	58	77
PCT7036	ED	898	52	0	0	0	9	43	0	24	19
PCT7036	MV	898	265	0	0	0	39	226	2	62	162
PCT7037	ED	730	73	0	0	0	26	47	0	22	25
PCT7037	MV	730	64	1	0	0	7	56	0	23	33
PCT7038	ED	880	84	0	0	0	21	63	3	28	32
PCT7038	MV	880	255	0	0	0	49	206	1	49	156
PCT7039	ED	768	111	0	0	1	20	90	1	36	53
PCT7039	MV	768	225	3	0	0	42	180	4	46	130
PCT7041	MV	60	24	1	0	0	5	18	0	6	12
PCT7042	ED	632	75	0	0	0	13	62	2	27	33
PCT7042	MV	632	191	0	0	0	39	152	0	58	94
PCT7043	ED	915	97	0	0	0	22	75	1	48	26
PCT7043	MV	915	282	0	0	1	49	232	0	96	136
PCT7044	ED	805	86	-1	0	0	32	55	2	22	31
PCT7044	MV	805	125	-1	0	0	24	102	1	42	59
PCT7045	ED	763	87	0	0	0	28	59	2	26	31
PCT7045	MV	763	282	1	0	0	88	193	1	52	140
PCT7046	ED	385	54	0	0	0	10	44	0	16	28
PCT7046	MV	385	136	-1	0	0	21	116	1	43	72
PCT7047	ED	781	68	-1	0	0	16	53	0	26	27
PCT7047	MV	781	298	2	0	0	46	250	3	82	165
PCT7048	ED	815	94	0	0	0	16	78	2	34	42
PCT7048	MV	815	248	1	0	0	46	201	4	62	135
PCT7049	ED	751	108	0	0	0	28	80	2	24	54
PCT7049	MV	751	241	0	0	0	54	187	4	47	136
PCT7051	ED	839	70	-1	0	0	19	52	0	32	20
PCT7051	MV	839	302	2	0	1	52	247	6	60	181
PCT7052	ED	806	120	-1	0	0	21	100	0	43	57
PCT7052	MV	806	278	1	0	0	48	229	0	58	171
PCT7053	ED	548	44	0	0	0	10	34	0	16	18
PCT7053	MV	548	205	3	0	0	37	165	1	38	126
PCT7054	ED	1024	141	0	0	0	32	109	1	60	48
PCT7054	MV	1024	275	1	0	0	46	228	0	115	113
PCT7055	ED	699	83	-1	0	0	22	62	0	32	30
PCT7055	MV	699	256	2	0	0	59	195	0	76	119
PCT7101	MV	141	83	0	0	0	19	64	0	24	40
PCT7201	ED	900	147	0	0	0	53	94	1	34	59
PCT7201	MV	900	333	0	0	0	78	255	0	88	167
PCT7202	ED	830	138	-1	0	0	33	106	2	28	76
PCT7202	MV	830	271	-2	0	0	52	221	0	54	167
PCT7203	ED	867	174	0	0	0	43	131	0	49	82
PCT7203	MV	867	243	1	0	0	53	189	2	67	120
PCT7204	ED	888	157	0	0	0	46	111	0	36	75
PCT7204	MV	888	340	2	0	0	59	279	0	86	193
PCT7205	ED	847	183	0	0	0	40	143	1	45	97
PCT7205	MV	847	309	0	0	0	47	262	0	65	197
PCT7206	ED	375	88	0	0	0	13	75	1	28	46
PCT7206	MV	375	124	1	0	0	38	85	1	31	53
PCT7207	ED	744	119	0	0	0	31	88	0	33	55
PCT7207	MV	744	231	2	0	0	48	181	0	58	123
PCT7208	ED	567	76	0	0	0	19	57	0	32	25
PCT7208	MV	567	206	1	0	0	39	166	2	53	111
PCT7209	ED	586	69	0	0	0	21	48	0	17	31
PCT7209	MV	586	326	3	0	0	64	259	2	55	202
PCT7301	ED	1002	150	0	0	0	33	117	1	53	63
PCT7301	MV	1002	299	3	0	0	63	233	1	76	156
PCT7302	ED	806	121	0	0	2	23	96	0	37	59
PCT7302	MV	806	352	0	0	0	63	289	1	59	229
PCT7303	ED	986	167	-1	0	0	48	120	0	55	65
PCT7303	MV	986	318	1	0	0	80	237	1	80	156
PCT7304	ED	972	203	1	0	0	54	148	1	51	96
PCT7304	MV	972	330	0	0	0	68	262	2	86	174
PCT7305	ED	851	171	0	0	0	50	121	0	52	69
PCT7305	MV	851	306	-1	0	0	69	238	3	61	174
PCT7306	ED	1014	179	0	0	0	58	121	0	47	74
PCT7306	MV	1014	302	-2	0	0	79	225	2	89	134
PCT7307	ED	726	143	0	0	0	36	107	0	41	66
PCT7307	MV	726	226	2	0	0	53	171	0	58	113
PCT7308	ED	598	133	0	0	0	33	100	1	36	63
PCT7308	MV	598	204	-1	0	0	40	165	0	47	118
PCT7309	ED	826	160	-2	0	0	40	122	0	52	70
PCT7309	MV	826	209	0	0	0	46	163	0	62	101
PCT7311	ED	901	175	-1	0	0	37	139	0	64	75
PCT7311	MV	901	266	0	0	0	60	206	0	73	133
PCT7312	ED	810	128	0	0	0	39	89	0	32	57
PCT7312	MV	810	332	3	0	1	69	259	1	64	194
PCT7313	ED	925	135	0	0	0	33	102	0	46	56
PCT7313	MV	925	315	-1	0	0	60	256	0	65	191
PCT7314	ED	760	92	0	0	0	37	55	0	22	33
PCT7314	MV	760	213	-1	0	0	57	157	1	30	126
PCT7315	ED	725	119	0	0	0	33	86	1	45	40
PCT7315	MV	725	178	1	0	0	29	148	0	48	100
PCT7316	ED	824	122	0	0	0	27	95	1	54	40
PCT7316	MV	824	266	0	0	0	54	212	0	82	130
PCT7317	ED	886	117	0	0	0	25	92	0	43	49
PCT7317	MV	886	340	2	0	0	62	276	3	78	195
PCT7318	ED	709	123	0	0	0	42	81	1	39	41
PCT7318	MV	709	243	-2	0	0	46	199	0	47	152
PCT7319	ED	1035	182	0	0	0	44	138	0	66	72
PCT7319	MV	1035	296	0	0	0	80	216	0	77	139
PCT7321	ED	644	100	0	0	0	32	68	1	29	38
PCT7321	MV	644	211	0	0	0	46	165	1	45	119
PCT7322	ED	859	60	0	0	0	13	47	0	24	23
PCT7322	MV	859	304	-1	0	0	66	239	1	31	207
PCT7323	ED	881	146	1	0	1	37	107	0	41	66
PCT7323	MV	881	273	0	0	0	64	209	0	58	151
PCT7324	ED	687	125	0	0	0	36	89	0	38	51
PCT7324	MV	687	198	0	0	0	53	145	2	31	112
PCT7325	ED	870	150	0	0	0	46	104	1	50	53
PCT7325	MV	870	276	0	0	0	76	200	2	47	151
PCT7326	ED	853	150	1	0	0	36	113	1	49	63
PCT7326	MV	853	256	-1	0	0	53	204	0	76	128
PCT7327	ED	684	62	0	0	0	20	42	0	20	22
PCT7327	MV	684	277	1	0	0	55	221	0	49	172
PCT7328	ED	950	70	0	0	0	22	48	0	15	33
PCT7328	MV	950	391	0	0	1	102	288	4	45	239
PCT7329	ED	610	71	-1	0	0	22	50	1	16	33
PCT7329	MV	610	205	-2	0	0	33	174	1	32	141
